menção;total;aon_total;aon_sucesso;aon_falha;flex_total;flex_sucesso;flex_falha;sub_total;sub_sucesso;sub_falha
angelo_agostini;52;29,0;24,0;5,0;22,0;22,0;0,0;1,0;1,0;0,0
ccxp;181;107,0;81,0;26,0;72,0;72,0;0,0;2,0;1,0;1,0
disputa;411;246,0;142,0;104,0;140,0;123,0;17,0;25,0;5,0;20,0
erotismo;147;85,0;57,0;28,0;49,0;46,0;3,0;13,0;0,0;13,0
fantasia;239;152,0;96,0;56,0;68,0;62,0;6,0;19,0;4,0;15,0
ficcao_cientifica;329;193,0;112,0;81,0;102,0;89,0;13,0;34,0;5,0;29,0
fiq;227;156,0;117,0;39,0;53,0;49,0;4,0;18,0;1,0;17,0
folclore;200;115,0;84,0;31,0;73,0;69,0;4,0;12,0;2,0;10,0
herois;275;171,0;93,0;78,0;85,0;75,0;10,0;19,0;3,0;16,0
hqmix;95;57,0;49,0;8,0;36,0;36,0;0,0;2,0;2,0;0,0
humor;274;184,0;125,0;59,0;63,0;60,0;3,0;27,0;5,0;22,0
jogos;290;167,0;113,0;54,0;92,0;88,0;4,0;31,0;7,0;24,0
lgbtqiamais;85;46,0;27,0;19,0;31,0;30,0;1,0;8,0;3,0;5,0
midia_independente;159;87,0;53,0;34,0;27,0;24,0;3,0;45,0;6,0;39,0
politica;245;139,0;84,0;55,0;76,0;70,0;6,0;30,0;7,0;23,0
questoes_genero;36;20,0;10,0;10,0;12,0;11,0;1,0;4,0;2,0;2,0
religiosidade;338;214,0;120,0;94,0;100,0;93,0;7,0;24,0;5,0;19,0
saloes_humor;13;12,0;9,0;3,0;1,0;1,0;0,0;0,0;0,0;0,0
terror;504;301,0;189,0;112,0;177,0;168,0;9,0;26,0;6,0;20,0
webformatos;104;70,0;53,0;17,0;25,0;25,0;0,0;9,0;3,0;6,0
zine;175;104,0;69,0;35,0;59,0;58,0;1,0;12,0;2,0;10,0
