ano;total;total_sucesso;arrecadado_sucesso;taxa_sucesso;media_sucesso
2011;2;1,0;49928,49876715453;0,5;49928,49876715453
2012;22;16,0;388973,44586066797;0,7272727272727273;24310,840366291748
2013;53;43,0;1159178,614032787;0,8113207547169812;26957,642186809
2014;62;38,0;943383,3242285311;0,6129032258064516;24825,876953382398
2015;133;69,0;1475973,6717165492;0,518796992481203;21390,922778500713
2016;125;72,0;1317769,2142186672;0,576;18302,35019748149
2017;139;81,0;1693955,9489865568;0,5827338129496403;20913,03640724144
2018;162;99,0;1648865,6697114066;0,6111111111111112;16655,208784963703
2019;163;101,0;1974161,9287945714;0,6196319018404908;19546,157710837342
2020;103;66,0;1731191,1975525434;0,6407766990291263;26230,169659887022
