menção;total;total_aon;taxa_sucesso_aon;particip_aon;total_flex;taxa_sucesso_flex;particip_flex;total_sub;taxa_sucesso_sub;particip_sub
angelo_agostini;173;67,0;0,9104477611940298;0,050187265917602995;104,0;1,0;0,07084468664850137;2,0;1,0;0,0029239766081871343
ccxp;337;156,0;0,8076923076923077;0,11685393258426967;175,0;1,0;0,11920980926430517;6,0;0,8333333333333334;0,008771929824561403
disputa;1030;400,0;0,6125;0,299625468164794;568,0;0,9612676056338029;0,3869209809264305;62,0;0,3548387096774194;0,09064327485380116
erotismo;353;123,0;0,6666666666666666;0,09213483146067415;207,0;0,9855072463768116;0,14100817438692098;23,0;0,21739130434782608;0,033625730994152045
fantasia;646;279,0;0,6451612903225806;0,20898876404494382;326,0;0,9754601226993865;0,2220708446866485;41,0;0,3902439024390244;0,059941520467836254
ficcao_cientifica;719;296,0;0,6047297297297297;0,22172284644194756;352,0;0,9602272727272727;0,23978201634877383;71,0;0,23943661971830985;0,10380116959064327
fiq;403;219,0;0,7397260273972602;0,16404494382022472;147,0;0,9659863945578231;0,10013623978201634;37,0;0,2972972972972973;0,054093567251461985
folclore;515;200,0;0,7;0,149812734082397;291,0;0,979381443298969;0,19822888283378748;24,0;0,4583333333333333;0,03508771929824561
herois;674;276,0;0,5688405797101449;0,20674157303370785;354,0;0,9689265536723164;0,24114441416893734;44,0;0,25;0,06432748538011696
hqmix;295;122,0;0,8852459016393442;0,09138576779026217;168,0;1,0;0,11444141689373297;5,0;0,6;0,007309941520467836
humor;602;271,0;0,7269372693726938;0,20299625468164795;277,0;0,9855595667870036;0,18869209809264306;54,0;0,3888888888888889;0,07894736842105263
jogos;666;284,0;0,7077464788732394;0,21273408239700375;321,0;0,9813084112149533;0,2186648501362398;61,0;0,2786885245901639;0,0891812865497076
lgbtqiamais;232;82,0;0,7073170731707317;0,06142322097378277;135,0;0,9925925925925926;0,09196185286103542;15,0;0,2;0,021929824561403508
midia_independente;322;140,0;0,6928571428571428;0,10486891385767791;105,0;0,9523809523809523;0,07152588555858311;77,0;0,23376623376623376;0,11257309941520467
politica;663;240,0;0,6416666666666667;0,1797752808988764;359,0;0,9777158774373259;0,24455040871934605;64,0;0,375;0,0935672514619883
questoes_genero;108;35,0;0,6857142857142857;0,026217228464419477;66,0;0,9848484848484849;0,04495912806539509;7,0;0,2857142857142857;0,01023391812865497
religiosidade;850;360,0;0,5861111111111111;0,2696629213483146;436,0;0,9701834862385321;0,2970027247956403;54,0;0,3333333333333333;0,07894736842105263
saloes_humor;31;16,0;0,75;0,01198501872659176;14,0;1,0;0,009536784741144414;1,0;0,0;0,0014619883040935672
terror;1251;496,0;0,6592741935483871;0,37153558052434454;684,0;0,9839181286549707;0,4659400544959128;71,0;0,36619718309859156;0,10380116959064327
webformatos;259;119,0;0,7478991596638656;0,08913857677902622;105,0;0,9809523809523809;0,07152588555858311;35,0;0,4857142857142857;0,05116959064327485
zine;404;164,0;0,6829268292682927;0,12284644194756554;212,0;0,9952830188679245;0,1444141689373297;28,0;0,32142857142857145;0,04093567251461988
