geral_uf_br;total;total_aon;taxa_sucesso_aon;particip_aon;total_flex;taxa_sucesso_flex;particip_flex;total_sub;taxa_sucesso_sub;particip_sub
AC;1;1,0;0,0;0,000749063670411985;0,0;0,0;0,0;0,0;0,0;0,0
AL;18;7,0;0,7142857142857143;0,0052434456928838954;6,0;0,8333333333333334;0,004087193460490463;5,0;0,0;0,007309941520467836
AM;31;14,0;0,2857142857142857;0,010486891385767791;4,0;0,75;0,0027247956403269754;13,0;0,07692307692307693;0,019005847953216373
AP;2;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,5;0,0029239766081871343
BA;69;19,0;0,3684210526315789;0,014232209737827715;25,0;0,84;0,0170299727520436;25,0;0,16;0,03654970760233918
CE;85;21,0;0,42857142857142855;0,015730337078651686;38,0;0,9736842105263158;0,025885558583106268;26,0;0,3076923076923077;0,038011695906432746
DF;80;40,0;0,575;0,0299625468164794;30,0;0,9666666666666667;0,020435967302452316;10,0;0,5;0,014619883040935672
ES;29;11,0;0,36363636363636365;0,008239700374531835;6,0;0,5;0,004087193460490463;12,0;0,4166666666666667;0,017543859649122806
GO;26;14,0;0,7142857142857143;0,010486891385767791;6,0;0,8333333333333334;0,004087193460490463;6,0;0,16666666666666666;0,008771929824561403
MA;18;3,0;0,3333333333333333;0,0022471910112359553;4,0;1,0;0,0027247956403269754;11,0;0,18181818181818182;0,01608187134502924
MG;248;115,0;0,5826086956521739;0,08614232209737828;71,0;0,9436619718309859;0,048365122615803814;62,0;0,16129032258064516;0,09064327485380116
MS;8;2,0;0,5;0,00149812734082397;6,0;0,8333333333333334;0,004087193460490463;0,0;0,0;0,0
MT;5;2,0;1,0;0,00149812734082397;2,0;1,0;0,0013623978201634877;1,0;0,0;0,0014619883040935672
PA;34;12,0;0,3333333333333333;0,008988764044943821;6,0;0,8333333333333334;0,004087193460490463;16,0;0,25;0,023391812865497075
PB;57;20,0;0,5;0,0149812734082397;26,0;0,9615384615384616;0,017711171662125342;11,0;0,09090909090909091;0,01608187134502924
PE;124;41,0;0,5853658536585366;0,030711610486891385;60,0;0,9666666666666667;0,04087193460490463;23,0;0,2608695652173913;0,033625730994152045
PI;37;20,0;0,65;0,0149812734082397;10,0;0,6;0,006811989100817439;7,0;0,0;0,01023391812865497
PR;187;81,0;0,5925925925925926;0,060674157303370786;64,0;0,921875;0,043596730245231606;42,0;0,2857142857142857;0,06140350877192982
RJ;401;152,0;0,618421052631579;0,11385767790262172;163,0;0,9202453987730062;0,11103542234332425;86,0;0,2558139534883721;0,12573099415204678
RN;33;20,0;0,55;0,0149812734082397;6,0;0,5;0,004087193460490463;7,0;0,0;0,01023391812865497
RO;7;1,0;0,0;0,000749063670411985;4,0;1,0;0,0027247956403269754;2,0;0,0;0,0029239766081871343
RS;299;102,0;0,6568627450980392;0,07640449438202247;142,0;0,9929577464788732;0,09673024523160763;55,0;0,2545454545454545;0,0804093567251462
SC;61;26,0;0,5384615384615384;0,01947565543071161;21,0;0,8571428571428571;0,01430517711171662;14,0;0,14285714285714285;0,02046783625730994
SE;13;1,0;0,0;0,000749063670411985;2,0;0,5;0,0013623978201634877;10,0;0,1;0,014619883040935672
SP;1604;609,0;0,6765188834154351;0,45617977528089887;766,0;0,9556135770234987;0,5217983651226158;229,0;0,2314410480349345;0,3347953216374269
TO;2;1,0;0,0;0,000749063670411985;0,0;0,0;0,0;1,0;0,0;0,0014619883040935672
XX;8;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;0,011695906432748537
